Date,dow_jones_index
2015-06-10,20750.0
2015-06-11,20980.0
2015-06-12,21120.0
2015-06-13,20930.0
2015-06-14,20930.0
2015-06-15,20740.0
2015-06-16,20830.0
2015-06-17,20820.0
2015-06-18,20820.0
2015-06-19,21000.0
2015-06-20,20970.0
2015-06-21,20970.0
2015-06-22,20940.0
2015-06-23,21140.0
2015-06-24,21230.0
2015-06-25,21000.0
2015-06-26,20930.0
2015-06-27,20820.0
2015-06-28,20820.0
2015-06-29,20710.0
2015-06-30,20680.0
2015-07-01,20705.0
2015-07-02,20730.0
2015-07-03,20860.0
2015-07-04,20500.0
2015-07-05,20500.0
2015-07-06,20140.0
2015-07-07,20800.0
2015-07-08,20500.0
2015-07-09,20450.0
2015-07-10,20600.0
2015-07-11,20515.0
2015-07-12,20515.0
2015-07-13,20430.0
2015-07-14,20870.0
2015-07-15,20960.0
2015-07-16,21100.0
2015-07-17,21150.0
2015-07-18,21145.0
2015-07-19,21145.0
2015-07-20,21145.0
2015-07-21,21140.0
2015-07-22,20930.0
2015-07-23,20815.0
2015-07-24,20700.0
2015-07-25,20650.0
2015-07-26,20650.0
2015-07-27,20600.0
2015-07-28,20450.0
2015-07-29,20670.0
2015-07-30,20800.0
2015-07-31,20880.0
2015-08-01,20780.0
2015-08-02,20780.0
2015-08-03,20680.0
2015-08-04,20510.0
2015-08-05,20650.0
2015-08-06,20610.0
2015-08-07,20630.0
2015-08-08,20615.0
2015-08-09,20615.0
2015-08-10,20600.0
2015-08-11,20830.0
2015-08-12,20660.0
2015-08-13,20500.0
2015-08-14,20520.0
2015-08-15,20535.0
2015-08-16,20535.0
2015-08-17,20550.0
2015-08-18,20640.0
2015-08-19,20430.0
2015-08-20,20220.0
2015-08-21,19850.0
2015-08-22,19265.0
2015-08-23,19265.0
2015-08-24,18680.0
2015-08-25,18170.0
2015-08-26,18330.0
2015-08-27,18650.0
2015-08-28,19290.0
2015-08-29,19185.0
2015-08-30,19185.0
2015-08-31,19080.0
2015-09-01,18500.0
2015-09-02,18410.0
2015-09-03,18600.0
2015-09-04,18210.0
2015-09-05,18325.0
2015-09-06,18325.0
2015-09-07,18440.0
